network,fact,stars,month,day,rating,prevratings,competition,bbs,abn,oct,dec,aprmay,mon,sun,march
"ABN",0,1,5,7,15.8,15.7,11.3,0,1,0,0,1,0,1,0
"ABN",1,0,5,2,13.3,10.7,12.8,0,1,0,0,1,0,0,0
"ABN",0,1,9,7,15.4,17.3,10.9,0,1,0,0,0,0,1,0
"ABN",0,0,9,2,14.7,15.5,13.9,0,1,0,0,0,0,0,0
"ABN",0,0,9,7,15.5,17.4,12.6,0,1,0,0,0,0,1,0
"ABN",1,0,9,2,14.7,15.3,14,0,1,0,0,0,0,0,0
"ABN",1,0,10,7,15.9,18.4,10.5,0,1,1,0,0,0,1,0
"ABN",1,0,10,7,13.8,24.7,12.1,0,1,1,0,0,0,1,0
"ABN",0,1,10,2,10,14.2,12.9,0,1,1,0,0,0,0,0
"ABN",0,1,11,7,12.9,16.9,18.6,0,1,0,0,0,0,1,0
"ABN",1,0,11,2,15.4,15.9,12.4,0,1,0,0,0,0,0,0
"ABN",0,2,11,7,14.5,19.4,14.2,0,1,0,0,0,0,1,0
"ABN",0,2,12,7,18.8,16.7,14.7,0,1,0,1,0,0,1,0
"ABN",0,0,12,2,16.7,14.9,10.1,0,1,0,1,0,0,0,0
"ABN",0,0,12,2,12.8,16.3,12,0,1,0,1,0,0,0,0
"ABN",0,1,12,7,16.8,15.7,10.1,0,1,0,1,0,0,1,0
"CBC",0,1,1,7,14,8.2,14.8,0,0,0,0,0,0,1,0
"CBC",1,0,1,1,11.3,13,13.2,0,0,0,0,0,1,0,0
"CBC",0,0,1,1,13.6,13.7,15.1,0,0,0,0,0,1,0,0
"CBC",1,0,2,7,12.9,8.8,16,0,0,0,0,0,0,1,0
"CBC",1,0,2,1,13.2,13.1,17,0,0,0,0,0,1,0,0
"CBC",1,0,2,7,16,6.9,15.8,0,0,0,0,0,0,1,0
"CBC",1,1,2,1,14.6,13.8,17.4,0,0,0,0,0,1,0,0
"CBC",0,1,2,7,16.6,16.8,14.4,0,0,0,0,0,0,1,0
"CBC",1,0,3,1,17.5,14.8,14.2,0,0,0,0,0,1,0,1
"CBC",0,0,3,7,11.6,10,14,0,0,0,0,0,0,1,1
"CBC",0,0,4,7,8.9,8.6,13,0,0,0,0,1,0,1,0
"CBC",0,0,4,1,15.6,13.3,16.8,0,0,0,0,1,1,0,0
"CBC",0,1,4,7,9.2,6.8,12.1,0,0,0,0,1,0,1,0
"CBC",0,0,4,1,11.8,12.9,12,0,0,0,0,1,1,0,0
"CBC",0,0,4,7,11,5.3,14.7,0,0,0,0,1,0,1,0
"CBC",1,0,4,1,9.5,13,17.3,0,0,0,0,1,1,0,0
"CBC",0,0,9,7,11.6,10.1,12.8,0,0,0,0,0,0,1,0
"CBC",1,0,9,1,13.3,13.1,20.3,0,0,0,0,0,1,0,0
"CBC",1,0,9,1,13.6,14.1,18.3,0,0,0,0,0,1,0,0
"CBC",0,0,10,1,12.4,13.6,20.2,0,0,1,0,0,1,0,0
"CBC",1,0,10,1,13.8,10.2,16.6,0,0,1,0,0,1,0,0
"CBC",1,0,10,7,11.9,11.8,12.2,0,0,1,0,0,0,1,0
"CBC",0,0,10,1,14.6,14.9,14.9,0,0,1,0,0,1,0,0
"CBC",1,1,11,1,15.8,13.4,17.2,0,0,0,0,0,1,0,0
"CBC",0,1,11,1,15.4,13.6,16.8,0,0,0,0,0,1,0,0
"CBC",0,0,11,1,12.8,12.7,14.6,0,0,0,0,0,1,0,0
"CBC",0,0,12,7,12.8,12,18.6,0,0,0,1,0,0,1,0
"CBC",0,0,12,1,15.1,14.1,15.5,0,0,0,1,0,1,0,0
"CBC",0,1,12,1,11.4,11.2,16.4,0,0,0,1,0,1,0,0
"CBC",1,0,12,1,19.1,12.6,15.4,0,0,0,1,0,1,0,0
